Idx,Comment,Code,License,Label,Author,Datasets,Packages,Output Types,Output Names,Source,Title,Project description,Domain,Publication date,Date modified,DOI
10222 pupillometry_tutorial_calignano.R 0,exclude NAs from data,"data <- data[complete.cases(data$average), ] summary(data) nrow(data) ",CC0 1.0 Universal,Data Variable,Giulia Calignano,['dataset_tutorial.csv'],"['dplyr', 'naniar', 'plyr', 'plyr', 'mgcv', 'itsadug', 'sjPlot']",None,None,https://osf.io/qhaf8/,BCCCD23 - Elements of Cognitive Pupillometry,"Here you will find all the materials of the tutorial: 'Elements in cognitive pupillometry'  that will be helded on the 5th of January 2023, in the context of BCCCD23 (https://bcccd.org/). 
Powered by Applied Research Courses Academy (ARCA), Department of Developmental and Social Psychology  - University of Padova 
    Hosted on the Open Science Framework",Psychology,2022-10-24,2023-05-25,10.17605/OSF.IO/QHAF8
9088 Social Factors COVID-19_Konrad.R 18," 2. compare model indices (ICC, conditional and margina RÂ²) ","tab_model(model0.1, model1, model1_full) tab_model(model0.1, model2, model2_full) tab_model(model0.2, model3, model3_full) ",CC-By Attribution 4.0 International,Statistical Modeling,Annika Konrad,['data_Konrad_etal.csv'],"['compareGroups', 'psych', 'lme4', 'emmeans', 'robustlmm', 'sjPlot', 'performance', 'ggeffects', 'ggplot2', 'ggnewscale', 'see', 'dplyr', 'rstatix', 'coin', 'ggpubr', 'effectsize']",None,None,https://osf.io/8edp7/,"Social factors, pre-existing mental disorders and distress during COVID-19","We aimed to predict psychological distress over time during the COVID-19 pandemic in individuals with and without pre-existing mental disorders with different social factors (social resources, empathic disconnection, and social isolation). 
    Hosted on the Open Science Framework",Social Science,2021-05-04,2022-07-13,None
9088 Social Factors COVID-19_Konrad.R 21,Plot robust model 1  get predicted Values for different levels of rsa_socialresources,"gg_model1 <- ggpredict(model1_robust, c(""daycount[0, 25, 50, 75]"", ""rsa_socialresources[meansd]"", ""diagnosis"")) ",CC-By Attribution 4.0 International,Visualization,Annika Konrad,['data_Konrad_etal.csv'],"['compareGroups', 'psych', 'lme4', 'emmeans', 'robustlmm', 'sjPlot', 'performance', 'ggeffects', 'ggplot2', 'ggnewscale', 'see', 'dplyr', 'rstatix', 'coin', 'ggpubr', 'effectsize']",None,None,https://osf.io/8edp7/,"Social factors, pre-existing mental disorders and distress during COVID-19","We aimed to predict psychological distress over time during the COVID-19 pandemic in individuals with and without pre-existing mental disorders with different social factors (social resources, empathic disconnection, and social isolation). 
    Hosted on the Open Science Framework",Social Science,2021-05-04,2022-07-13,None
10940 AnalysisPost-PAP.R 11,"count of articles that generated data using experimental techniques (includes articles that use both, percentage calculated using total empirical articles) ","GenerateData[2,2] <- sum(MMCPSR_emp$EHPdata) GenerateData[2,3] <- sum(MMCPSR_emp$EHPdata)/nrow(MMCPSR_emp) ",Other,Data Variable,Daniel Solomon,None,"['viridis', 'forcats', 'ggstance']",None,None,https://osf.io/uhma8/,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),"This project surveys the conduct of political science research published in ten top journals from 1998 – 2018, based on original data collected from a sample of 1,926 research articles between July 2020 and May 2021. 
    Hosted on the Open Science Framework",Psychology,2021-09-23,2023-05-12,None
5080 SRMA2019_analyses.R 0,Data organization   Rename columns/variable names to make it simpler variable names,"colnames(srmadata) srmadata <- srmadata %>% rename(assessors = 2, journal = 3, pubyear = 4, pubmonth = 5, study.title = 6, pmid = 7, regist = 8, regist.num = 9, protocol = 10, title.ident = 11, ab.sources = 12, ab.eleg.crit = 13, ab.particip = 14, ab.interv = 15, ab.effect = 16, ab.included = 17, ab.outcome = 18, in.picos = 19, me.database = 20, me.search.avai = 21, me.grey.lit = 22, me.date.just = 23, me.lang.num = 24, me.picos.desc = 25, me.sele.dup = 26, me.extr.dup = 27, me.rob.desc = 28, me.rob.dup = 29, me.stat.desc = 30, me.heterog = 31, item.removed01 = 32, re.flowdia = 33, re.ssizes = 34, re.picos.desc = 35, re.lengths = 36, re.estim.desc = 37, re.meta.studies = 38, re.rob = 39, re.deviations = 40, di.spin = 41, di.rob.studies = 42, di.limitations = 43, data.statem = 44, fund.statem = 45, funders = 46, coi.statem = 47) ",CC-By Attribution 4.0 International,Data Variable,Daniel Umpierre,['SRMAdata.csv'],"['tidyverse', 'DescTools', 'ggplot2']",None,None,https://osf.io/ntw7d/,Strengthening the Evidence in Exercise Sciences Initiative (SEES Initiative),"The SEES-Initiative generates prospective and systematic appraisals of systematic reviews and clinical trials of exercise interventions.  Find here our protocol and materials. 
    Hosted on the Open Science Framework",Social Science,2019-03-06,2022-12-02,10.17605/OSF.IO/NTW7D
5080 SRMA2019_analyses.R 2,Redefine columns types to factor,"srmadata <- data.frame(srmadata) srmadata %>% mutate_if(is.character, as.factor) %>% str() ",CC-By Attribution 4.0 International,Data Variable,Daniel Umpierre,['SRMAdata.csv'],"['tidyverse', 'DescTools', 'ggplot2']",None,None,https://osf.io/ntw7d/,Strengthening the Evidence in Exercise Sciences Initiative (SEES Initiative),"The SEES-Initiative generates prospective and systematic appraisals of systematic reviews and clinical trials of exercise interventions.  Find here our protocol and materials. 
    Hosted on the Open Science Framework",Social Science,2019-03-06,2022-12-02,10.17605/OSF.IO/NTW7D
5080 SRMA2019_analyses.R 17," Add labels to variables in participant dataframe;; then, generate table ","table1::label(participant$ab.particip) <- ""Description of participants (ab)"" table1::label(participant$re.picos.desc) <- ""Detailed studies' characteristics"" table1::table1(~ab.particip + re.picos.desc, data = participant) ",CC-By Attribution 4.0 International,Data Variable,Daniel Umpierre,['SRMAdata.csv'],"['tidyverse', 'DescTools', 'ggplot2']",None,None,https://osf.io/ntw7d/,Strengthening the Evidence in Exercise Sciences Initiative (SEES Initiative),"The SEES-Initiative generates prospective and systematic appraisals of systematic reviews and clinical trials of exercise interventions.  Find here our protocol and materials. 
    Hosted on the Open Science Framework",Social Science,2019-03-06,2022-12-02,10.17605/OSF.IO/NTW7D
5080 SRMA2019_analyses.R 26," HISTOGRAM   Generate a histogram of density of scores achieved by the 104 assessed studies  Create a 0 or 1 dataset, where No0 and Yes1, with respective study IDs (variable ""id"") ","id <- (1:104) allbinary <- data.frame(id, transparency, completenessbinary, participant, intervention, outcome, rigorbinary, appraisalbinary) allbinary[allbinary == ""Yes""] <- ""1"" allbinary[allbinary == ""No""] <- ""0"" lapply(allbinary,as.numeric) ",CC-By Attribution 4.0 International,Visualization,Daniel Umpierre,['SRMAdata.csv'],"['tidyverse', 'DescTools', 'ggplot2']",None,None,https://osf.io/ntw7d/,Strengthening the Evidence in Exercise Sciences Initiative (SEES Initiative),"The SEES-Initiative generates prospective and systematic appraisals of systematic reviews and clinical trials of exercise interventions.  Find here our protocol and materials. 
    Hosted on the Open Science Framework",Social Science,2019-03-06,2022-12-02,10.17605/OSF.IO/NTW7D
5080 SRMA2019_analyses.R 28," Set the dataframe as numeric so that we can sum up recommended practices for each study (variable ""yes.score"") ","allbinary[] <- lapply(allbinary, function(x) as.numeric(as.character(x))) ",CC-By Attribution 4.0 International,Data Variable,Daniel Umpierre,['SRMAdata.csv'],"['tidyverse', 'DescTools', 'ggplot2']",None,None,https://osf.io/ntw7d/,Strengthening the Evidence in Exercise Sciences Initiative (SEES Initiative),"The SEES-Initiative generates prospective and systematic appraisals of systematic reviews and clinical trials of exercise interventions.  Find here our protocol and materials. 
    Hosted on the Open Science Framework",Social Science,2019-03-06,2022-12-02,10.17605/OSF.IO/NTW7D
5080 SRMA2019_analyses.R 29,Create a new dataframe (binarytotalsdf) with a new variable (yes.score) that reflects the number of recommended practices from each study,binary-scoredf <- allbinary %>% mutate(yes.score = regist + protocol + me.search.avai + data.statem + + title.ident + + ab.sources + ab.eleg.crit + ab.included + in.picos + me.picos.desc + re.flowdia + + re.ssizes + re.lengths + fund.statem + coi.statem + ab.particip + re.picos.desc + + ab.interv + re.picos.desc + ab.outcome + me.stat.desc + me.heterog + re.estim.desc + + re.meta.studies + me.grey.lit + me.date.just + me.lang.num + me.sele.dup + me.extr.dup + + me.rob.desc + me.rob.dup +re.rob + re.deviations + di.spin + di.rob.studies + + di.limitations),CC-By Attribution 4.0 International,Data Variable,Daniel Umpierre,['SRMAdata.csv'],"['tidyverse', 'DescTools', 'ggplot2']",None,None,https://osf.io/ntw7d/,Strengthening the Evidence in Exercise Sciences Initiative (SEES Initiative),"The SEES-Initiative generates prospective and systematic appraisals of systematic reviews and clinical trials of exercise interventions.  Find here our protocol and materials. 
    Hosted on the Open Science Framework",Social Science,2019-03-06,2022-12-02,10.17605/OSF.IO/NTW7D
